,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
42,Zuckerberg says he doesn't know if Facebook employees were involved with Cambridge Analytica during the 2016 presid… https://t.co/Kxzwk2VZwJ,CNN,Tue Apr 10 20:09:25 +0000 2018,0.0,0.0,0.0,1.0,43
43,"""I want to clarify, I'm not sure we have subpoenas. I know we're working with them,"" Zuckerberg said after confirmi… https://t.co/Qsvv0Z7zFU",CNN,Tue Apr 10 20:04:20 +0000 2018,-0.1685,0.061,0.092,0.847,44
44,Kellyanne Conway's husband appears to be defending special counsel Robert Mueller's investigation as well as the FB… https://t.co/85jRT6Rm1z,CNN,Tue Apr 10 20:01:46 +0000 2018,0.5859,0.231,0.0,0.769,45
45,"Sen. Graham asks Zuckerberg about Facebook's competition, ""You don't think you have a monopoly?""… https://t.co/x3bZxSVFNk",CNN,Tue Apr 10 19:59:29 +0000 2018,0.0,0.0,0.0,1.0,46
46,Equal pay activist Lilly Ledbetter wants to meet with Ivanka Trump https://t.co/uGqN7YKi9a https://t.co/w0AHoimYta,CNN,Tue Apr 10 19:57:24 +0000 2018,-0.1027,0.0,0.104,0.896,47
47,These demonstrators before the joint hearing of the Senate Judiciary and Commerce Committees with Mark Zuckerberg s… https://t.co/TGxMvEmwdU,CNN,Tue Apr 10 19:57:06 +0000 2018,0.0,0.0,0.0,1.0,48
48,"Sen. Lindsey Graham asks Mark Zuckerberg about Facebook's Terms of Service, holding up a printed version, adds that… https://t.co/bVT1FQ3yFU",CNN,Tue Apr 10 19:52:01 +0000 2018,0.0,0.0,0.0,1.0,49
49,Michael Cohen and the absolutely amazing history of the once-coveted New York City taxi medallion | Analysis by… https://t.co/koAiwfzsHF,CNN,Tue Apr 10 19:49:51 +0000 2018,0.624,0.194,0.0,0.806,50
50,"Shares of Facebook were up about 2% when the hearing began, and they moved even higher as CEO Mark Zuckerberg addre… https://t.co/AQj1HRuOcZ",CNN,Tue Apr 10 19:47:04 +0000 2018,0.296,0.095,0.0,0.905,51
51,"Sinclair CEO on the controversial promos read by local anchors: ""We do not let extremists on any side of the politi… https://t.co/39MMBLK3ZX",CNN,Tue Apr 10 19:42:15 +0000 2018,-0.2023,0.0,0.079,0.921,52
52,Mark Zuckerberg says Facebook may have been served subpoenas from Special Counsel Mueller's office… https://t.co/gbRrc3gXnL,CNN,Tue Apr 10 19:41:59 +0000 2018,0.4019,0.162,0.0,0.838,53
53,Bankers are getting anxious as lawmakers wrestle with a bill that would cut regulations https://t.co/xcxpxIE0JD https://t.co/wo1GQa4JK6,CNN,Tue Apr 10 19:36:01 +0000 2018,-0.4767,0.0,0.24,0.76,54
54,"Sen. Cantwell says to Zuckerberg, ""I believe you have all the talent, my question is whether you have all the will… https://t.co/8UqFuc1s66",CNN,Tue Apr 10 19:34:42 +0000 2018,0.4215,0.118,0.0,0.882,55
55,Polls show the GOP is now President Trump's party | Analysis by CNN's Harry Enten https://t.co/ON672cHRwC https://t.co/rjlJ7BSiOD,CNN,Tue Apr 10 19:32:33 +0000 2018,0.4019,0.153,0.0,0.847,56
56,"""We want to offer a free service that everyone can afford."" Zuckerberg says the first line of Facebook's terms of s… https://t.co/Ev4roGonfk",CNN,Tue Apr 10 19:27:07 +0000 2018,0.5574,0.195,0.0,0.805,57
57,"Sen Hatch asks Zuckerberg, ""How do you sustain a business model in which users don't pay for your service?""… https://t.co/1T9vUpRuy9",CNN,Tue Apr 10 19:26:08 +0000 2018,0.0762,0.067,0.0,0.933,58
58,"Zuckerberg says that one of his greatest regrets in running Facebook is ""that we were slow in identifying the Russi… https://t.co/Thu7Lo4L1d",CNN,Tue Apr 10 19:22:42 +0000 2018,0.4019,0.163,0.097,0.739,59
59,"""It's extraordinary to hold a joint committee hearing. It's even more extraordinary to have a single CEO testify be… https://t.co/WDCcSU2OcY",CNN,Tue Apr 10 19:22:06 +0000 2018,0.0,0.0,0.0,1.0,60
60,"JUST IN: President Trump ""believes he has the power to"" fire special counsel Robert Mueller, White House press secr… https://t.co/8Oai9qtDzM",CNN,Tue Apr 10 19:21:59 +0000 2018,0.0772,0.117,0.104,0.779,61
61,Zuckerberg: We need to take a more proactive role and a broader view of our responsibility https://t.co/NPHrJM7GGX https://t.co/9Ih1I5u4X8,CNN,Tue Apr 10 19:17:52 +0000 2018,0.4754,0.171,0.0,0.829,62
62,Mark Zuckerberg says when Facebook first learned of Cambridge Analytica buying data from an app developer on Facebo… https://t.co/T03jZbWojq,CNN,Tue Apr 10 19:14:36 +0000 2018,0.0,0.0,0.0,1.0,63
63,Here's everything Zuckerberg just said in his opening remarks to members of the Senate committees:… https://t.co/RAAvkXbIxP,CNN,Tue Apr 10 19:12:05 +0000 2018,0.0,0.0,0.0,1.0,64
64,"""It's clear now that we didn't do enough to prevent these tools from being used for harm...It was my mistake, and I… https://t.co/aeJwZipXdG",CNN,Tue Apr 10 19:05:23 +0000 2018,0.0772,0.142,0.092,0.766,65
65,Zuckerberg and his team held mock hearings to prepare for today's grilling. A conference room at Facebook was set u… https://t.co/7XECcVlJA9,CNN,Tue Apr 10 19:03:03 +0000 2018,-0.4215,0.0,0.128,0.872,66
66,"Zuckerberg says, ""Advertisers and developers will never take priority over that as long as I am running Facebook"" https://t.co/q6tL8M7eeQ",CNN,Tue Apr 10 19:02:39 +0000 2018,0.0,0.0,0.0,1.0,67
67,"This attendee of Mark Zuckerberg's testimony before Congress is wearing a handmade shirt that says ""#DeleteFacebook… https://t.co/3nzxGM0E0B",CNN,Tue Apr 10 18:58:04 +0000 2018,0.0,0.0,0.0,1.0,68
68,Zuckerberg says before Congress: It's not enough to just connect people https://t.co/gotW9k8299 https://t.co/eoxESUU44q,CNN,Tue Apr 10 18:57:43 +0000 2018,0.0,0.0,0.0,1.0,69
69,"Sen. Nelson says in his opening remarks to Mark Zuckerberg, ""Facebook has a responsibility to protect this personal… https://t.co/yOgPJyJXtV",CNN,Tue Apr 10 18:56:04 +0000 2018,0.3818,0.133,0.0,0.867,70
70,"White House press secretary Sarah Sanders on the FBI raid of Trump lawyer Michael Cohen's office: ""I think that the… https://t.co/r8Hua5JoNk",CNN,Tue Apr 10 18:55:11 +0000 2018,0.0,0.0,0.0,1.0,71
71,"Facebook CEO Mark Zuckerberg is testifying before Congress.

Watch on CNN: https://t.co/UYpqI3w42L

Watch on Facebo… https://t.co/oSGLlmF3ry",CNN,Tue Apr 10 18:53:30 +0000 2018,0.0,0.0,0.0,1.0,72
72,RT @CNNPolitics: White House press secretary Sarah Sanders says President Trump thinks special counsel Robert Mueller’s probe “has gone too…,CNN,Tue Apr 10 18:46:07 +0000 2018,0.4019,0.124,0.0,0.876,73
73,"Facebook CEO Mark Zuckerberg is testifying before Congress: https://t.co/GM8O5wobAa

Have questions? We want to hea… https://t.co/yakAlqbwhF",CNN,Tue Apr 10 18:40:58 +0000 2018,0.0772,0.08,0.0,0.92,74
74,"Facebook CEO Mark Zuckerberg has arrived to testify before Congress
Watch on CNN: https://t.co/UYpqI3w42L… https://t.co/BIK7YfQqVV",CNN,Tue Apr 10 18:35:01 +0000 2018,0.0,0.0,0.0,1.0,75
75,"Snowfall across the great white continent of Antarctica is increasing, according to a study released this week by a… https://t.co/LQh9rCABoI",CNN,Tue Apr 10 18:31:02 +0000 2018,0.6249,0.186,0.0,0.814,76
76,Apple is now completely powered by clean energy https://t.co/YEndWOan9Z https://t.co/TmEh8lSGxB,CNN,Tue Apr 10 18:18:00 +0000 2018,0.6204,0.388,0.0,0.612,77
77,They've marched 7 days across Oklahoma. Now Tulsa teachers are ready to confront lawmakers. https://t.co/68apefSHmJ https://t.co/KR687QGFIT,CNN,Tue Apr 10 18:10:09 +0000 2018,0.2023,0.145,0.099,0.756,78
78,"""I will do everything I can to make Facebook... a positive force in the world"": Here's the message Facebook CEO Mar… https://t.co/FymihRn1cE",CNN,Tue Apr 10 18:00:14 +0000 2018,0.5574,0.159,0.0,0.841,79
