,Tweets,Name,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweet Count
52,"🐶❤️😽
Henry and Baloo: Dog and cat travel companions gain cult following.
👉 https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv",BBC,Mon Apr 09 15:07:08 +0000 2018,0.5267,0.207,0.0,0.793,53
53,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
👉… https://t.co/MULW1tgRPL",BBC,Mon Apr 09 14:02:03 +0000 2018,0.5267,0.145,0.0,0.855,54
54,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p",BBC,Mon Apr 09 13:01:05 +0000 2018,0.4404,0.293,0.0,0.707,55
55,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe,BBC,Mon Apr 09 12:31:27 +0000 2018,0.0,0.0,0.0,1.0,56
56,"🌭🐶 Over 1,500 people turned up to this mass sausage dog walk in Manchester yesterday. https://t.co/6fscMy6eZ7",BBC,Mon Apr 09 12:28:16 +0000 2018,0.0,0.0,0.0,1.0,57
57,"RT @bbcsoutheast: You don't have to be married to take part in ""wife-carrying"". Fancy giving it a go? #Dorking #wifecarrying #wifecarryingu…",BBC,Mon Apr 09 12:14:30 +0000 2018,0.34,0.112,0.0,0.888,58
58,"RT @BBCnireland: As the days get longer, here are some #TightShorts tips on creating that naturally flawless, 'don't get seen, blend into t…",BBC,Mon Apr 09 12:12:54 +0000 2018,0.6705,0.208,0.0,0.792,59
59,Flipping the script on dyslexia. https://t.co/rW1FLygX9V,BBC,Mon Apr 09 12:02:02 +0000 2018,0.0,0.0,0.0,1.0,60
60,"RT @bbcthesocial: This is how homophobia feels in 2018.

#TimeForLove https://t.co/dHfsvt94Nz",BBC,Mon Apr 09 11:50:07 +0000 2018,0.0,0.0,0.0,1.0,61
61,RT @BBCFOUR: How do you cope with stage fright when you're working at music's top level? Listen to the new #BBCYoungMusician podcast with @…,BBC,Mon Apr 09 11:27:01 +0000 2018,-0.2023,0.068,0.098,0.833,62
62,"Love hurts, but this is a step too far...

💍 People are getting finger piercings instead of engagement rings.
👉… https://t.co/eargluPvnC",BBC,Mon Apr 09 11:16:03 +0000 2018,0.6757,0.268,0.083,0.649,63
