,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
83,RT @ladyantebellum: Ecstatic to announce we'll be performing at the #ACMawards in Las Vegas again this year! https://t.co/Qfhs94j6FR,CBS,Tue Mar 20 16:52:42 +0000 2018,0.5562,0.174,0.0,0.826,84
84,"Country superstars @kennychesney, @ladyantebellum, @blakeshelton, and @KeithUrban have just been added to the stell… https://t.co/bJ4If7MacP",CBS,Tue Mar 20 16:11:00 +0000 2018,0.0,0.0,0.0,1.0,85
85,"RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ❤️ Get ready to celebrate 45 years of #YR starting in just…",CBS,Mon Mar 19 21:02:26 +0000 2018,0.7845,0.309,0.072,0.619,86
86,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,CBS,Sun Mar 18 23:44:30 +0000 2018,0.0,0.0,0.0,1.0,87
87,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,CBS,Sun Mar 18 18:05:43 +0000 2018,0.6514,0.213,0.0,0.787,88
88,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",CBS,Sun Mar 18 17:09:53 +0000 2018,0.1867,0.08,0.0,0.92,89
89,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",CBS,Sat Mar 17 19:00:02 +0000 2018,0.0,0.0,0.0,1.0,90
90,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,CBS,Sat Mar 17 17:42:43 +0000 2018,0.6166,0.161,0.0,0.839,91
91,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,CBS,Sat Mar 17 14:00:03 +0000 2018,0.7096,0.247,0.0,0.753,92
92,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,CBS,Fri Mar 16 22:53:21 +0000 2018,0.296,0.104,0.0,0.896,93
93,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",CBS,Fri Mar 16 18:15:53 +0000 2018,0.0,0.0,0.0,1.0,94
94,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP,CBS,Fri Mar 16 16:28:40 +0000 2018,0.6514,0.178,0.0,0.822,95
95,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions 🗣💬➡️ https://t.co/ie1…",CBS,Thu Mar 15 17:54:06 +0000 2018,0.7088,0.237,0.0,0.763,96
96,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,CBS,Thu Mar 15 17:20:26 +0000 2018,-0.4939,0.077,0.157,0.766,97
97,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,CBS,Thu Mar 15 16:42:41 +0000 2018,0.6514,0.194,0.0,0.806,98
98,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,CBS,Thu Mar 15 14:32:16 +0000 2018,0.6115,0.266,0.0,0.734,99
99,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",CBS,Wed Mar 14 19:30:01 +0000 2018,0.6696,0.219,0.0,0.781,100
