,Tweets,Name,Date,Compound Score,Postive Score,Negative Score,Neutral Score,Tweet Count
39,Mark Zuckerberg: “It’s not enough to just build tools. We need to make sure that they’re used for good.”… https://t.co/eQm3XUQrDr,Fox News,Tue Apr 10 19:26:31 +0000 2018,0.3182,0.108,0.0,0.892,40
40,Mark Zuckerberg on Facebook privacy policy: “Long privacy policies are very confusing…We don’t expect that most peo… https://t.co/uOHSFI9Fhk,Fox News,Tue Apr 10 19:18:03 +0000 2018,0.0,0.0,0.0,1.0,41
41,"RT @FoxBusiness: Zuckerberg: ""Across the board we have a responsibility to not just build tools, but to make sure they're used for good. It…",Fox News,Tue Apr 10 19:09:37 +0000 2018,0.7783,0.245,0.0,0.755,42
42,Mark Zuckerberg: “It’s clear now that we didn’t do enough to prevent these tools from being used for harm…We didn’t… https://t.co/cBa3oQPu4W,Fox News,Tue Apr 10 19:06:48 +0000 2018,0.4019,0.163,0.0,0.837,43
43,"Mark Zuckerberg: “We face a number of important issues around privacy, safety, and democracy.”… https://t.co/BcIxivQRkj",Fox News,Tue Apr 10 19:05:27 +0000 2018,0.5994,0.349,0.0,0.651,44
44,"RT @FoxBusiness: Mark Zuckerberg delivers an opening statement: ""We face a number of important issues around privacy, safety, and democracy…",Fox News,Tue Apr 10 18:58:25 +0000 2018,0.5994,0.269,0.0,0.731,45
45,Mark Zuckerberg: “Facebook is an idealistic and optimistic company.” https://t.co/Il5feaxDRW https://t.co/pgCF8Pa6kL,Fox News,Tue Apr 10 18:58:12 +0000 2018,0.6249,0.362,0.0,0.638,46
46,.@PressSec on Tom Bossert: “He resigned. The president feels he’s done a great job and wishes him the best as he mo… https://t.co/mtS87PR6D0,Fox News,Tue Apr 10 18:54:40 +0000 2018,0.836,0.331,0.067,0.602,47
47,"RT @FoxBusiness: .@SenBillNelson: ""If you and other social media companies do not get your act in order, none of us are going to have any p…",Fox News,Tue Apr 10 18:52:54 +0000 2018,0.0,0.0,0.0,1.0,48
48,.@PressSec on Syria crisis: “We’re going to continue to work with a number of our partners and allies as we determi… https://t.co/B8s2Quo9Mo,Fox News,Tue Apr 10 18:51:56 +0000 2018,-0.5859,0.053,0.168,0.779,49
49,.@SenFeinstein to Mark Zuckerberg: “You have a real opportunity this afternoon to lead the industry and demonstrate… https://t.co/2ETQv4jfo9,Fox News,Tue Apr 10 18:45:15 +0000 2018,0.4215,0.149,0.0,0.851,50
50,".@SenJohnThune: “Today’s hearing is extraordinary…In many respects, Facebook’s incredible reach is why we’re here t… https://t.co/SXchuXamIp",Fox News,Tue Apr 10 18:39:01 +0000 2018,0.34,0.195,0.0,0.805,51
51,Feds request documents from Trump Organization related to Michael Cohen's payment to Stormy Daniels - via… https://t.co/nKtJciJBCd,Fox News,Tue Apr 10 18:31:43 +0000 2018,0.0,0.0,0.0,1.0,52
52,Facebook's Mark Zuckerberg testifies before Senate committees https://t.co/Il5feaxDRW https://t.co/UKEQTxL4tl,Fox News,Tue Apr 10 18:31:22 +0000 2018,0.0,0.0,0.0,1.0,53
53,".@Facebook CEO Mark Zuckerberg testifies before Congress. 

Live blog: https://t.co/Il5feaxDRW https://t.co/OqG4FdSUeZ",Fox News,Tue Apr 10 18:30:26 +0000 2018,0.0,0.0,0.0,1.0,54
54,Los Angeles painting city streets white in bid to combat climate change https://t.co/wnrEqTzmCW,Fox News,Tue Apr 10 18:26:30 +0000 2018,-0.34,0.0,0.167,0.833,55
55,LIVE BLOG: Facebook's Mark Zuckerberg testifies before Senate committees https://t.co/Il5feaxDRW,Fox News,Tue Apr 10 18:16:27 +0000 2018,0.0,0.0,0.0,1.0,56
56,Awaiting: @WhiteHouse briefing and Mark Zuckerberg hearing https://t.co/hsmssS2hbP,Fox News,Tue Apr 10 18:01:22 +0000 2018,0.0,0.0,0.0,1.0,57
57,"T.J. Miller arrested at NYC airport after making false bomb threat on Amtrak train, officials say https://t.co/YuMd5KbZLG",Fox News,Tue Apr 10 17:45:00 +0000 2018,-0.8658,0.0,0.409,0.591,58
58,Puppy in Texas Rescued After Getting Head Stuck in Car Wheel https://t.co/rJwe7uUEpy https://t.co/Dtayq6fKz3,Fox News,Tue Apr 10 17:34:51 +0000 2018,0.2023,0.177,0.127,0.696,59
59,"Tennessee woman says 'it's a miracle' her wallet, purse blocked bullets https://t.co/TW61TsvxIR",Fox News,Tue Apr 10 17:34:04 +0000 2018,0.4019,0.255,0.141,0.604,60
60,TN Communities Hold Vigils for Illegal Immigrants Nabbed by ICE at Meatpacking Plant https://t.co/GJ3Ix2IQNB,Fox News,Tue Apr 10 17:14:02 +0000 2018,-0.5574,0.0,0.217,0.783,61
61,Obamas won't be attending Meghan Markle and Prince Harry's wedding https://t.co/7bTlBnFsCa,Fox News,Tue Apr 10 17:06:37 +0000 2018,0.0,0.0,0.0,1.0,62
62,Starbucks baristas celebrate engagement with coffee-filled photo shoot (via @JaninePuhak) https://t.co/tWt3f52imV,Fox News,Tue Apr 10 16:50:47 +0000 2018,0.6486,0.392,0.14,0.468,63
63,.@FLOTUS comforts child who spilled water https://t.co/BERxpZCGXY,Fox News,Tue Apr 10 16:38:44 +0000 2018,0.4767,0.341,0.0,0.659,64
64,Sen. @RandPaul: FBI Raid on Trump's Attorney Was 'Great Overstep' by Mueller https://t.co/TVaz6Q6N9r,Fox News,Tue Apr 10 16:33:47 +0000 2018,0.6249,0.255,0.0,0.745,65
65,.@POTUS: “We’re making sure that terrorism funding is stopped.” https://t.co/781KLXUBgk,Fox News,Tue Apr 10 16:24:59 +0000 2018,-0.5106,0.154,0.309,0.537,66
66,"Amber Heard donates $7M Johnny Depp divorce settlement to children's hospital, charities https://t.co/JJXSWTKBgc",Fox News,Tue Apr 10 15:47:54 +0000 2018,0.4939,0.211,0.0,0.789,67
67,Former #Trump administration officials: A list of notable departures https://t.co/0YfN6m9FGX,Fox News,Tue Apr 10 15:39:38 +0000 2018,0.0,0.0,0.0,1.0,68
68,.@SenJohnKennedy: “It seems to me that Facebook has an obligation to protect people’s data.” https://t.co/G4uvFBgNSQ,Fox News,Tue Apr 10 15:38:34 +0000 2018,0.3818,0.157,0.0,0.843,69
69,Would you pay $20 million for a license plate? https://t.co/jcn7gsDwtd,Fox News,Tue Apr 10 15:37:19 +0000 2018,-0.1027,0.0,0.149,0.851,70
70,.@SenJohnKennedy: “I don’t want to have to regulate Facebook. Clearly though we have a problem.” https://t.co/Tk5PHNmg8n,Fox News,Tue Apr 10 15:25:50 +0000 2018,0.4588,0.235,0.0,0.765,71
71,6 dead when Arizona plane crashes shortly after takeoff (via @travfed)  https://t.co/ARuWr8WJ2V,Fox News,Tue Apr 10 15:15:00 +0000 2018,-0.6486,0.0,0.301,0.699,72
72,Awaiting U.N. Security Council Vote on Syria; @EricShawnTV reports https://t.co/ZyUcHIjt9z https://t.co/BIHnjDOI1D,Fox News,Tue Apr 10 15:10:17 +0000 2018,0.34,0.194,0.0,0.806,73
73,Popular Black Lives Matter Facebook page exposed as fraud https://t.co/5LEm09NrrM (via @christocarbone),Fox News,Tue Apr 10 15:05:00 +0000 2018,-0.296,0.229,0.3,0.471,74
74,"Homeland Security Adviser Tom Bossert resigns, White House says - via @brookefoxnews 
https://t.co/yZpJ4fnQca",Fox News,Tue Apr 10 15:02:48 +0000 2018,0.0258,0.163,0.156,0.68,75
75,Tennessee college senior defends posing for graduation picture with gun in her waistband https://t.co/c2J6kUR9Mt,Fox News,Tue Apr 10 14:54:56 +0000 2018,-0.34,0.0,0.156,0.844,76
76,"Homeland Security Adviser Tom Bossert resigns, White House says https://t.co/KfE9TCOPik",Fox News,Tue Apr 10 14:51:57 +0000 2018,0.0258,0.189,0.181,0.63,77
77,Rare Titanic love letter up for auction offers insight into life on the doomed ocean liner https://t.co/1LpbaSGD7V,Fox News,Tue Apr 10 14:50:55 +0000 2018,0.0,0.179,0.179,0.641,78
78,Stocks surge as fears of trade war ease https://t.co/qACcop2qJo,Fox News,Tue Apr 10 14:42:00 +0000 2018,-0.6369,0.164,0.441,0.395,79
79,"Homeland Security Adviser Tom Bossert resigns, White House says https://t.co/XT4zAgm28q https://t.co/A8CSrtqTAK",Fox News,Tue Apr 10 14:39:24 +0000 2018,0.0258,0.175,0.168,0.657,80
80,"BREAKING NEWS: Homeland Security Adviser Tom Bossert resigns, White House says https://t.co/XT4zAgm28q https://t.co/JI2TLsxz5z",Fox News,Tue Apr 10 14:25:27 +0000 2018,0.0258,0.153,0.146,0.701,81
81,"Life-sized cutouts depicting Facebook CEO Mark Zuckerberg wearing ""Fix Fakebook"" T-shirts are displayed by an advoc… https://t.co/9qwPeQqGUl",Fox News,Tue Apr 10 14:16:22 +0000 2018,0.0,0.0,0.0,1.0,82
82,"Moments ago, President @realDonaldTrump tweeted about hosting America’s senior defense and military leaders for din… https://t.co/u4bNIAYrBW",Fox News,Tue Apr 10 14:11:42 +0000 2018,0.128,0.091,0.0,0.909,83
83,"Florida motorcyclist rammed, driven off road by mystery driver during dispute https://t.co/tVEdOMxE8q",Fox News,Tue Apr 10 14:05:55 +0000 2018,-0.4019,0.0,0.197,0.803,84
84,Trump's National Guard request for US-Mexico border draws response from surrounding states https://t.co/yY8vBnKM5X,Fox News,Tue Apr 10 14:03:14 +0000 2018,0.0,0.0,0.0,1.0,85
85,"RT @FoxBusiness: Kroger to hire 11,000 employees and invest $500 million in associate wages, training and development over the next three y…",Fox News,Tue Apr 10 14:01:32 +0000 2018,0.0,0.0,0.0,1.0,86
